id,X01,Y01,Z01,X11,Y11,Z11,X21,Y21,Z21,X31,Y31,Z31,X41,Y41,Z41,X51,Y51,Z51,label
1,70.46211291,64.87711367,-50.10581345,82.78383569,36.04244228,-50.98891924,33.12918815,84.91284035,-31.77117041,11.74449894,87.84606776,-25.83095954,60.75981013,6.483995741,-67.55649896,43.11996506,89.36165863,-35.92301308,1
2,80.17746703,133.6214328,-25.95657235,75.23164422,82.43009676,-28.31280305,85.63850939,1.648577114,-86.31668238,4.41007393,91.60476078,-9.267397241,59.56926488,-12.81234112,-75.81174195,94.56115084,12.87179349,-87.24250548,3
3,94.375668,25.11715059,-90.06292583,58.59445725,90.85845043,-35.23187349,52.88023458,134.3623735,-40.88968874,79.81444417,20.53839623,-84.86809816,58.64936729,3.19900334,-73.99897842,?,?,?,3
4,54.43612688,85.34717379,24.61537777,3.513212911,139.6372698,34.11472387,43.56121209,44.7352789,-52.89821299,66.481943,133.8555292,23.79353568,-35.23368242,125.630729,13.99611649,19.48363818,148.505225,41.92023787,5
5,90.67594207,64.73973675,-56.47201264,59.22096447,140.9703175,-23.33398087,-7.020104923,96.99743395,-1.700752181,28.13071821,102.3391386,9.255898442,-32.15985314,70.39580324,-14.58139002,10.47064788,153.7138897,-17.15906812,5
6,12.63552474,139.3927275,-42.8438031,-0.988234163,98.18399454,-9.481649778,-27.17686069,119.6809578,-45.74334163,-3.647268988,132.561828,-48.14538381,46.3870773,127.4772528,-42.11571278,-39.30218149,95.2170289,-18.80931335,5
7,74.25783138,77.43145661,-54.74453185,39.58115696,146.8508014,-10.5837325,36.8462605,98.10728556,-5.768963458,80.17001981,46.7149653,-56.15813873,58.71910476,94.6674823,-6.685140088,57.43200089,22.23112639,-50.83125189,4
8,23.74520624,89.10278324,26.46961125,1.457682485,78.40896526,31.0993996,74.7469995,121.6419973,27.14722126,50.29417461,126.2310845,47.40474352,62.89461201,131.974033,41.77514667,37.00321104,97.21984647,27.50785409,2
9,106.9517438,23.53398116,-86.5923211,7.258161593,81.35844861,-44.39452018,60.22916824,136.4264406,-29.35936452,90.47694696,12.3673591,-81.50201548,60.03929964,-6.523918532,-78.26955964,50.4585499,94.5286322,-29.85120231,3
10,-4.230907544,82.493301,-54.97674556,32.05438741,2.00646148,3.990558454,17.58287673,86.03980593,-61.75995619,?,?,?,?,?,?,?,?,?,1
11,52.17284318,141.9265764,31.13080997,29.7748185,83.06577281,17.56196137,23.47049243,110.029052,35.04093394,52.29021057,87.30747932,3.415590176,85.20566994,128.0713811,4.463853776,55.40986179,91.55841701,-10.46070596,2
12,56.7263878,152.5318426,-25.36814752,108.326325,10.32700161,-84.83491277,82.55291312,8.68998196,-86.39337675,52.73325516,93.6838379,-22.65766192,66.46631936,84.27680351,-30.74619765,61.64972389,138.0144984,-18.85790065,4
13,55.79472003,24.56904238,-59.62474981,26.86547412,83.48765116,-46.28722089,58.52817395,78.96994398,-60.14758614,13.08851542,82.31231599,-40.24996164,65.13085684,52.23368311,-59.33241643,42.97456573,88.87169779,-38.39769381,1
14,99.20902588,138.3818348,10.04671728,46.64385025,87.44043834,14.71297865,69.68249021,135.9447645,33.1728144,91.95757646,79.24602171,-23.77921337,118.2499441,112.6647524,-18.02962474,58.74116513,94.40763798,1.560780924,2
15,45.91802333,30.6560466,-76.96490964,50.43200757,137.7648916,-41.14655813,61.13374628,78.2545149,-98.22320313,59.84542327,55.48155225,-90.07979318,-16.66431177,125.244371,-30.45990744,63.78990339,138.8970251,-49.39622442,5
16,70.65502891,72.57749258,3.471769648,51.94161187,82.14724319,-2.982682377,129.1311532,12.97553717,-11.9218457,113.6166528,-4.328717637,-15.66143026,70.10315223,132.1066173,-9.981558265,-5.286249452,67.64976496,-44.39130588,4
17,27.6397054,8.951940591,5.732586091,28.82345254,102.8862698,-69.83458912,-15.52178369,80.43694856,-71.35449011,59.17928446,108.1502736,-65.88118297,44.60099407,106.7785732,-12.55947913,-12.53131723,103.1311259,-74.8999638,5
18,48.98801178,92.9934515,16.63830497,51.26892306,75.7152269,-64.85139002,41.68743097,44.59277954,-57.23778145,19.87373816,147.0165265,31.1873864,-44.2952962,120.0955914,0.759323198,40.80448783,149.9275276,18.33914434,5
19,51.62336788,102.4453952,-0.157515189,85.99598161,40.52513986,-41.02969932,104.5488162,49.20242076,-33.79688623,56.92925903,142.0993932,15.33422062,18.77216545,109.1137464,-18.99929725,58.91818688,36.20371915,-46.67710922,3
20,-1.007645929,86.53069973,-50.40404078,21.97289254,90.06132387,-56.53572451,31.05313212,3.714594172,5.280317949,44.96184899,82.81881106,-61.05437365,?,?,?,?,?,?,1
21,53.89735314,85.64526343,24.45916665,-33.30425846,126.1546667,10.96822523,3.044905292,80.75391817,44.63623288,66.15324652,134.3116373,24.06439514,53.46047141,75.89632354,-56.75531722,-8.848931753,148.1644466,39.83563074,5
22,49.2276582,100.4665299,-6.480399244,38.12552944,99.54608751,11.28720167,53.56652621,73.22909925,-14.88161483,-3.575468996,97.47342165,27.53459796,13.95845915,102.6588087,23.64429729,?,?,?,1
23,71.17086507,57.57585006,-58.44081809,46.26611989,99.28288349,-32.78789303,3.486002146,95.83084694,-24.38904128,23.93282819,102.2540367,-32.47111992,64.96598848,19.60033637,-57.98385765,59.86999747,88.17214884,-56.4365418,1
24,77.42338434,49.17601353,-68.88065494,68.79013575,65.39098141,-70.32354393,18.47850492,76.37613689,-48.03070749,63.2958559,67.19080999,-52.07097344,37.67374053,73.10798515,-54.13305677,?,?,?,1
25,79.25132656,119.1987823,16.72062665,49.174204,91.89265725,19.19883091,-16.27430346,22.73886756,10.43605491,-1.577445301,54.94641062,71.38606473,26.06057334,69.75357375,64.38940678,?,?,?,3
26,67.95306505,98.76661988,11.38088809,18.697042,79.00539942,-56.2062301,42.60523442,101.079378,-0.722041552,23.16365647,98.95834377,-23.64589054,94.72847444,4.952423871,-4.255834563,44.6546428,123.4315067,-65.68165858,5
27,68.04469538,65.46830762,-43.88611998,84.30867728,81.5359451,-39.5937566,47.24773825,151.8453763,17.76632221,20.63556985,143.6041582,37.69354268,36.91410848,104.9823273,7.948045793,-13.50835665,131.7860834,33.84526095,1
28,85.69801132,134.5072099,13.43553748,74.89433538,91.03030007,-7.744151866,53.97873671,93.6603288,9.621027056,27.50950178,93.77732636,20.85499695,61.09021234,12.11418591,-73.39594796,65.89718658,146.3232767,41.34828907,2
29,31.77522526,150.560658,21.45262813,36.98215359,94.2306762,7.243761931,86.8138412,45.32381651,-31.46561248,5.637695262,112.060239,3.35265027,67.88176432,41.28748754,-37.88279488,39.42844526,36.44977823,-45.45561453,3
30,29.21512706,84.40271862,-42.84544658,12.99527259,76.37262807,-40.34663584,55.36785496,72.68504032,-46.00438273,57.54402759,81.4795863,-67.23469033,61.19449359,53.15772848,-62.97277948,42.54360473,29.65329938,-57.91427404,1
31,29.46537743,89.02981379,-46.47657046,84.18401376,73.03095028,-67.4216645,58.43462564,15.38418783,-69.75205757,77.93983686,49.19213253,-66.46440804,?,?,?,?,?,?,1
32,44.49687629,91.3373626,16.82118234,92.13124321,76.18302463,-21.92920155,104.5151475,128.71981,12.49121949,122.8437965,112.230657,-15.68898727,72.66611906,82.88900849,2.181736649,11.76704506,127.2598504,50.56320246,2
33,82.64005896,45.84339125,-39.92599195,105.7392287,48.38534632,-32.993164,53.58975682,140.2873643,15.61290294,56.13406798,99.04349657,0.673216062,-0.665983732,101.8447618,-10.28214937,5.713978484,118.7214164,-17.86028579,3
34,76.8955155,93.89812577,-18.22187104,97.64618037,140.2522713,-14.4178708,14.30658607,133.0018126,23.54794606,10.25881215,92.33060518,19.72297286,58.72228844,93.11955311,0.682962794,24.39657988,100.9830662,14.64299294,2
35,26.91119519,10.20194975,8.808739854,34.33920109,105.239279,-66.64816222,-8.518795464,79.67779821,-72.0867491,8.766065995,97.84231747,-76.77258685,61.45998488,107.198537,-60.5516494,32.22968219,118.040852,-6.383889685,5
36,9.758615097,88.05183054,-39.18499867,46.5097948,46.07789145,-94.90121432,-11.87838036,79.72100172,-36.9095059,69.59990245,68.25401193,-50.64519237,38.49690046,77.5169868,-45.88829601,34.71315037,15.54691172,-78.90675498,1
37,-27.40995652,89.46567247,2.821158939,52.3727046,105.043445,-16.24477912,105.0806687,48.93906568,-34.36334989,46.97825432,152.1569069,-22.8257163,16.48140645,109.5625391,-21.0247016,-10.64449036,110.924976,-6.408614163,3
38,-16.37406798,128.1809545,-45.19943371,-3.494484222,98.6219106,-6.269198592,42.23471072,105.1498491,15.63737791,107.9752787,52.34338898,-19.05668994,11.54599265,104.6708444,10.15494511,76.87052313,32.05221669,-7.27630809,5
39,83.31370104,133.7553138,-25.04401431,43.00473273,100.2459092,-39.29482953,76.02287488,82.47327613,-27.62936682,24.07813672,101.6134455,-22.60361128,84.65622586,8.787711632,-86.7492604,-7.183525827,99.82299021,3.519119421,3
40,0.248918431,102.1691287,-25.36201578,73.45022384,52.19623647,-61.02921019,72.17938986,78.88848351,-59.92228056,25.98176858,101.1873991,-30.60721251,65.02885484,19.31678913,-58.00898465,34.3650055,107.0259583,-27.68768965,1
41,64.15914932,82.03841264,-17.33141202,69.78740706,128.3632029,-23.08850442,51.49350026,5.357852742,-77.94447398,53.29413284,44.02312014,-90.24447702,?,?,?,?,?,?,3
42,21.46601994,140.8832169,-24.98956043,42.95022832,105.0194777,17.72632415,50.12745414,132.7682414,-12.82518786,-2.860197336,100.6941206,-5.046131447,7.578080053,132.7714124,-39.40635283,-0.834049959,113.8660029,13.27753598,5
43,39.68506899,146.2839501,18.8233186,67.25804646,18.47110966,-56.47335476,56.92571909,134.3574197,3.661068894,40.12637516,95.86245836,7.905513793,56.26760001,94.41860027,0.141156988,74.19114949,81.30795445,-48.72493047,4
44,73.31789532,86.03844627,-25.41580522,62.74127908,-16.75291253,-75.72230636,75.62737644,127.8396661,-33.38737661,111.757207,-1.691079574,-89.52623653,87.16254457,-5.159028402,-83.6741063,-11.79506317,95.91994799,-12.29213994,3
45,49.46357665,100.5190476,-5.279383878,37.07787065,99.79690886,10.17436233,-6.938543859,95.87594014,25.4995426,16.20570472,104.5413593,23.01508794,52.63115274,73.18377291,-14.09512021,?,?,?,1
46,10.49598732,87.31682784,-38.37163356,-9.535550778,78.34074327,-34.98512285,67.08717121,67.26471909,-51.50707421,38.83233866,80.47633211,-48.16427713,45.70098733,6.864152067,-81.89177251,32.21810788,55.75249548,-92.46805739,1
